Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
5,ID-NB,Nusa Tenggara Barat,26,2,29,-5,2197,121,1363,713,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,4.93,416.87,0.38,22.96,5.51%,62.04%,1.24,1.00
5,ID-NT,Nusa Tenggara Timur,1,0,9,-8,152,1,129,22,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,0.18,28.09,0.00,0.18,0.66%,84.87%,,1.00
5,ID-PA,Papua,11,0,27,-16,3175,33,1471,1671,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,2.53,731.51,0.00,7.60,1.04%,46.33%,0.22,1.00
5,ID-PB,Papua Barat,10,0,2,8,481,6,306,169,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,8.77,421.67,0.00,5.26,1.25%,63.62%,0.91,1.00
5,ID-RI,Riau,29,0,4,25,606,13,347,246,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,4.77,99.77,0.00,2.14,2.15%,57.26%,0.41,1.00
5,ID-SR,Sulawesi Barat,3,0,1,2,245,5,151,89,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,1.92,157.05,0.00,3.21,2.04%,61.63%,1.00,1.00
5,ID-SN,Sulawesi Selatan,127,1,155,-29,9987,327,6934,2726,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,13.47,1059.42,0.11,34.69,3.27%,69.43%,1.09,0.14
5,ID-ST,Sulawesi Tengah,2,0,1,1,215,7,192,16,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,0.68,72.74,0.00,2.37,3.26%,89.30%,,1.00
5,ID-SG,Sulawesi Tenggara,35,2,8,25,892,16,608,268,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,13.28,338.46,0.76,6.07,1.79%,68.16%,0.51,
5,ID-SA,Sulawesi Utara,19,0,35,-16,2794,134,1426,1234,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,7.19,1057.58,0.00,50.72,4.80%,51.04%,0.66,1.00
5,ID-SB,Sumatera Barat,19,0,3,16,1006,34,776,196,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,3.44,182.27,0.00,6.16,3.38%,77.14%,1.46,1.00
5,ID-SS,Sumatera Selatan,62,6,25,31,3552,175,1915,1462,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,7.54,432.25,0.73,21.30,4.93%,53.91%,1.77,
5,ID-SU,Sumatera Utara,130,2,74,54,4391,211,1791,2389,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,8.74,295.20,0.13,14.18,4.81%,40.79%,1.91,0.33
6,ID-AC,Aceh,41,0,0,41,483,20,91,372,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,7.81,92.05,0.00,3.81,4.14%,18.84%,20.50,0.00
6,ID-BA,Bali,27,0,38,-11,3644,48,3168,428,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,6.40,864.29,0.00,11.38,1.32%,86.94%,0.69,1.00
6,ID-BT,Banten,32,1,28,3,1979,94,1455,430,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,2.98,184.57,0.09,8.77,4.75%,73.52%,1.39,
6,ID-BE,Bengkulu,1,0,0,1,240,20,139,81,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,0.50,120.03,0.00,10.00,8.33%,57.92%,1.00,1.00
6,ID-JK,DKI Jakarta,556,13,246,297,23936,901,15005,8030,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,51.26,2206.87,1.20,83.07,3.76%,62.69%,1.57,0.93
6,ID-YO,Daerah Istimewa Yogyakarta,18,0,20,-2,819,21,496,302,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,4.96,225.56,0.00,5.78,2.56%,60.56%,1.06,1.00
6,ID-GO,Gorontalo,4,0,121,-117,1431,37,915,479,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,3.39,1212.04,0.00,31.34,2.59%,63.94%,0.10,1.00
6,ID-JA,Jambi,0,0,0,0,193,4,116,73,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,0.00,55.25,0.00,1.15,2.07%,60.10%,0.00,1.00
6,ID-JB,Jawa Barat,83,1,32,50,6986,217,4248,2521,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,1.84,154.69,0.02,4.80,3.11%,60.81%,0.67,
6,ID-JT,Jawa Tengah,115,20,174,-79,10151,701,6308,3142,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,3.16,279.15,0.55,19.28,6.91%,62.14%,0.77,1.33
6,ID-JI,Jawa Timur,286,18,465,-197,24115,1817,16772,5526,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,7.07,595.74,0.44,44.89,7.53%,69.55%,0.69,1.00
6,ID-KB,Kalimantan Barat,7,0,0,7,394,4,371,19,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,1.29,72.66,0.00,0.74,1.02%,94.16%,,1.00
6,ID-KS,Kalimantan Selatan,67,0,25,42,6478,298,3730,2450,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,16.65,1610.22,0.00,74.07,4.60%,57.58%,1.24,1.00
6,ID-KT,Kalimantan Tengah,25,4,7,14,1874,95,1312,467,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,9.73,729.10,1.56,36.96,5.07%,70.01%,5.00,
6,ID-KI,Kalimantan Timur,36,1,46,-11,1701,42,1078,581,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,10.13,478.86,0.28,11.82,2.47%,63.37%,0.54,
6,ID-KU,Kalimantan Utara,4,0,0,4,291,2,265,24,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,6.17,448.79,0.00,3.08,0.69%,91.07%,,1.00
6,ID-BB,Kepulauan Bangka Belitung,0,0,0,0,197,2,182,13,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,0.00,142.78,0.00,1.45,1.02%,92.39%,0.00,1.00
6,ID-KR,Kepulauan Riau,0,0,0,0,500,23,321,156,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,0.00,259.15,0.00,11.92,4.60%,64.20%,0.00,0.00
6,ID-LA,Lampung,1,0,4,-3,299,13,219,67,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,0.11,32.87,0.00,1.43,4.35%,73.24%,1.00,1.00
6,ID-MA,Maluku,46,2,11,33,1221,25,779,417,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,24.90,661.04,1.08,13.53,2.05%,63.80%,1.59,
6,ID-MU,Maluku Utara,7,0,88,-81,1592,50,850,692,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,5.35,1217.31,0.00,38.23,3.14%,53.39%,1.00,1.00
6,ID-NB,Nusa Tenggara Barat,27,1,15,11,2224,122,1378,724,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,5.12,421.99,0.19,23.15,5.49%,61.96%,1.04,0.50
6,ID-NT,Nusa Tenggara Timur,0,0,0,0,152,1,129,22,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,0.00,28.09,0.00,0.18,0.66%,84.87%,0.00,1.00
6,ID-PA,Papua,17,1,49,-33,3192,34,1520,1638,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,3.92,735.42,0.23,7.83,1.07%,47.62%,1.55,
6,ID-PB,Papua Barat,11,0,38,-27,492,6,344,142,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,9.64,431.31,0.00,5.26,1.22%,69.92%,1.10,1.00
6,ID-RI,Riau,15,0,12,3,621,13,359,249,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,2.47,102.24,0.00,2.14,2.09%,57.81%,0.52,1.00
